outer_cv,model,fold,n_train,n_test,R2,RMSE,MAE,SpearmanR,best_params,fit_seconds,fold_seconds
leave_one_site_out,PLSR,22,91,2,-308.37140757281384,7.0355827911872515,6.840634701650144,,{'model__n_components': 11},0.11005199997453019,0.11233660002471879
leave_one_site_out,PLSR,23,91,2,-86.02277402584437,6.996449841851037,5.144294793788275,,{'model__n_components': 12},0.11959149996982887,0.12225529999705032
leave_one_site_out,PLSR,24,91,2,0.6839052659983315,3.1203378092902687,3.0136148628069668,,{'model__n_components': 12},0.1219091999810189,0.1242612999631092
leave_one_site_out,PLSR,25,91,2,0.5468180097434552,4.3084027575086425,3.9823099861485796,,{'model__n_components': 7},0.11392229999182746,0.11664709995966405
leave_one_site_out,PLSR,26,91,2,-27.930608485076597,1.613615432393013,1.5081421281904959,,{'model__n_components': 8},0.11396719998447224,0.1163067999877967
leave_one_site_out,PLSR,27,91,2,0.07700563050816212,0.8166170656787992,0.801387903371797,,{'model__n_components': 7},0.11869000003207475,0.12140509998425841
leave_one_site_out,PLSR,28,91,2,0.5469371690098905,5.216520515280607,3.7171174655617296,,{'model__n_components': 7},0.11805420002201572,0.12069169996539131
leave_one_site_out,PLSR,29,91,2,-0.11098048374826308,6.534989655331003,4.9401774793090825,,{'model__n_components': 12},0.11644579999847338,0.11892430001171306
leave_one_site_out,PLSR,30,91,2,-0.47648719651639904,3.4023021060288823,3.0053199824649734,,{'model__n_components': 10},0.11978810001164675,0.12209190003341064
leave_one_site_out,PLSR,31,91,2,0.4984826846212169,2.6910797152945185,2.2168545341175774,,{'model__n_components': 12},0.11887489998480305,0.12193040002603084
leave_one_site_out,PLSR,32,91,2,-3.3392593587831394,4.686950021478749,4.6326119761057765,,{'model__n_components': 8},0.12009989999933168,0.12301029998343438
leave_one_site_out,PLSR,33,91,2,-510.8975499945025,1.1312576519017439,0.9165287159983482,,{'model__n_components': 8},0.11777449998771772,0.12017650000052527
leave_one_site_out,PLSR,34,91,2,0.2795447588046712,2.419069593171941,2.3026696277057264,,{'model__n_components': 8},0.11853969999356195,0.12083010002970695
leave_one_site_out,PLSR,35,91,2,-0.6847453899740694,5.386606304421033,4.609398929852308,,{'model__n_components': 9},0.1208172999904491,0.1230935999774374
leave_one_site_out,PLSR,36,91,2,-0.22899041839666623,9.72795098340626,6.968674624091375,,{'model__n_components': 8},0.1161627999972552,0.1185098999994807
leave_one_site_out,PLSR,37,91,2,-1.7453871860672274,10.703709632369662,7.745870762161892,,{'model__n_components': 8},0.11589919996913522,0.1182050000061281
leave_one_site_out,PLSR,38,91,2,0.04762143321639256,4.494014207440532,4.4444535578540805,,{'model__n_components': 2},0.11866020003799349,0.12140959996031597
leave_one_site_out,PLSR,39,91,2,-3.9444207421867894,6.292803133906207,5.998015243278322,,{'model__n_components': 7},0.11059950001072139,0.11294909997377545
leave_one_site_out,PLSR,40,91,2,-1.4268696285245706,6.067792004187929,5.999382211370707,,{'model__n_components': 8},0.12159669998800382,0.12398079998092726
leave_one_site_out,PLSR,41,91,2,-0.15572097357022208,2.3597229802851163,2.3596875282356917,,{'model__n_components': 7},0.13108069996815175,0.13427969999611378
leave_one_site_out,PLSR,42,91,2,-3.0324433764392555,6.757237871436921,5.692140944043749,,{'model__n_components': 7},0.12394530000165105,0.12644789996556938
leave_one_site_out,PLSR,43,91,2,-0.21773079098673298,7.630760592630368,6.566620096861217,,{'model__n_components': 8},0.12020439998013899,0.12327579996781424
leave_one_site_out,PLSR,44,92,1,,0.018186782486258934,0.018186782486258934,,{'model__n_components': 8},0.11556499998550862,0.11783709999872372
leave_one_site_out,PLSR,45,92,1,,4.283864765822354,4.283864765822354,,{'model__n_components': 8},0.12000019999686629,0.12281460000667721
leave_one_site_out,PLSR,46,92,1,,0.5860785780033737,0.5860785780033737,,{'model__n_components': 8},0.1166780999628827,0.11889919999521226
leave_one_site_out,PLSR,47,92,1,,1.0593631668459835,1.0593631668459835,,{'model__n_components': 8},0.11727220000466332,0.11969920003321022
leave_one_site_out,PLSR,48,92,1,,1.4193941454648744,1.4193941454648744,,{'model__n_components': 8},0.11533729999791831,0.1178074999479577
leave_one_site_out,PLSR,49,92,1,,0.38902005224984393,0.38902005224984393,,{'model__n_components': 8},0.11994030000641942,0.12216530001023784
leave_one_site_out,PLSR,50,92,1,,2.473745500132738,2.473745500132738,,{'model__n_components': 8},0.12214669998502359,0.1244215999613516
